date,year_number,year_name,quarter_number,quarter_name,month_number,month_name,week_number,week_name,week_day_number,week_day_name
2022-01-01,2022,FY22,1,Q1,1,January,1,W1,7,Saturday
2022-01-02,2022,FY22,1,Q1,1,January,2,W2,1,Sunday
2022-01-03,2022,FY22,1,Q1,1,January,2,W2,2,Monday
2022-01-04,2022,FY22,1,Q1,1,January,2,W2,3,Tuesday
2022-01-05,2022,FY22,1,Q1,1,January,2,W2,4,Wednesday
2022-01-06,2022,FY22,1,Q1,1,January,2,W2,5,Thursday
2022-01-07,2022,FY22,1,Q1,1,January,2,W2,6,Friday
2022-01-08,2022,FY22,1,Q1,1,January,2,W2,7,Saturday
2022-01-09,2022,FY22,1,Q1,1,January,3,W3,1,Sunday
2022-01-10,2022,FY22,1,Q1,1,January,3,W3,2,Monday
2022-01-11,2022,FY22,1,Q1,1,January,3,W3,3,Tuesday
2022-01-12,2022,FY22,1,Q1,1,January,3,W3,4,Wednesday
2022-01-13,2022,FY22,1,Q1,1,January,3,W3,5,Thursday
2022-01-14,2022,FY22,1,Q1,1,January,3,W3,6,Friday
2022-01-15,2022,FY22,1,Q1,1,January,3,W3,7,Saturday
2022-01-16,2022,FY22,1,Q1,1,January,4,W4,1,Sunday
2022-01-17,2022,FY22,1,Q1,1,January,4,W4,2,Monday
2022-01-18,2022,FY22,1,Q1,1,January,4,W4,3,Tuesday
2022-01-19,2022,FY22,1,Q1,1,January,4,W4,4,Wednesday
2022-01-20,2022,FY22,1,Q1,1,January,4,W4,5,Thursday
2022-01-21,2022,FY22,1,Q1,1,January,4,W4,6,Friday
2022-01-22,2022,FY22,1,Q1,1,January,4,W4,7,Saturday
2022-01-23,2022,FY22,1,Q1,1,January,5,W5,1,Sunday
2022-01-24,2022,FY22,1,Q1,1,January,5,W5,2,Monday
2022-01-25,2022,FY22,1,Q1,1,January,5,W5,3,Tuesday
2022-01-26,2022,FY22,1,Q1,1,January,5,W5,4,Wednesday
2022-01-27,2022,FY22,1,Q1,1,January,5,W5,5,Thursday
2022-01-28,2022,FY22,1,Q1,1,January,5,W5,6,Friday
2022-01-29,2022,FY22,1,Q1,1,January,5,W5,7,Saturday
2022-01-30,2022,FY22,1,Q1,1,January,6,W6,1,Sunday
2022-01-31,2022,FY22,1,Q1,1,January,6,W6,2,Monday
2022-02-01,2022,FY22,1,Q1,2,February,6,W6,3,Tuesday
2022-02-02,2022,FY22,1,Q1,2,February,6,W6,4,Wednesday
2022-02-03,2022,FY22,1,Q1,2,February,6,W6,5,Thursday
2022-02-04,2022,FY22,1,Q1,2,February,6,W6,6,Friday
2022-02-05,2022,FY22,1,Q1,2,February,6,W6,7,Saturday
2022-02-06,2022,FY22,1,Q1,2,February,7,W7,1,Sunday
2022-02-07,2022,FY22,1,Q1,2,February,7,W7,2,Monday
2022-02-08,2022,FY22,1,Q1,2,February,7,W7,3,Tuesday
2022-02-09,2022,FY22,1,Q1,2,February,7,W7,4,Wednesday
2022-02-10,2022,FY22,1,Q1,2,February,7,W7,5,Thursday
2022-02-11,2022,FY22,1,Q1,2,February,7,W7,6,Friday
2022-02-12,2022,FY22,1,Q1,2,February,7,W7,7,Saturday
2022-02-13,2022,FY22,1,Q1,2,February,8,W8,1,Sunday
2022-02-14,2022,FY22,1,Q1,2,February,8,W8,2,Monday
2022-02-15,2022,FY22,1,Q1,2,February,8,W8,3,Tuesday
2022-02-16,2022,FY22,1,Q1,2,February,8,W8,4,Wednesday
2022-02-17,2022,FY22,1,Q1,2,February,8,W8,5,Thursday
2022-02-18,2022,FY22,1,Q1,2,February,8,W8,6,Friday
2022-02-19,2022,FY22,1,Q1,2,February,8,W8,7,Saturday
2022-02-20,2022,FY22,1,Q1,2,February,9,W9,1,Sunday
2022-02-21,2022,FY22,1,Q1,2,February,9,W9,2,Monday
2022-02-22,2022,FY22,1,Q1,2,February,9,W9,3,Tuesday
2022-02-23,2022,FY22,1,Q1,2,February,9,W9,4,Wednesday
2022-02-24,2022,FY22,1,Q1,2,February,9,W9,5,Thursday
2022-02-25,2022,FY22,1,Q1,2,February,9,W9,6,Friday
2022-02-26,2022,FY22,1,Q1,2,February,9,W9,7,Saturday
2022-02-27,2022,FY22,1,Q1,2,February,10,W10,1,Sunday
2022-02-28,2022,FY22,1,Q1,2,February,10,W10,2,Monday
2022-03-01,2022,FY22,1,Q1,3,March,10,W10,3,Tuesday
2022-03-02,2022,FY22,1,Q1,3,March,10,W10,4,Wednesday
2022-03-03,2022,FY22,1,Q1,3,March,10,W10,5,Thursday
2022-03-04,2022,FY22,1,Q1,3,March,10,W10,6,Friday
2022-03-05,2022,FY22,1,Q1,3,March,10,W10,7,Saturday
2022-03-06,2022,FY22,1,Q1,3,March,11,W11,1,Sunday
2022-03-07,2022,FY22,1,Q1,3,March,11,W11,2,Monday
2022-03-08,2022,FY22,1,Q1,3,March,11,W11,3,Tuesday
2022-03-09,2022,FY22,1,Q1,3,March,11,W11,4,Wednesday
2022-03-10,2022,FY22,1,Q1,3,March,11,W11,5,Thursday
2022-03-11,2022,FY22,1,Q1,3,March,11,W11,6,Friday
2022-03-12,2022,FY22,1,Q1,3,March,11,W11,7,Saturday
2022-03-13,2022,FY22,1,Q1,3,March,12,W12,1,Sunday
2022-03-14,2022,FY22,1,Q1,3,March,12,W12,2,Monday
2022-03-15,2022,FY22,1,Q1,3,March,12,W12,3,Tuesday
2022-03-16,2022,FY22,1,Q1,3,March,12,W12,4,Wednesday
2022-03-17,2022,FY22,1,Q1,3,March,12,W12,5,Thursday
2022-03-18,2022,FY22,1,Q1,3,March,12,W12,6,Friday
2022-03-19,2022,FY22,1,Q1,3,March,12,W12,7,Saturday
2022-03-20,2022,FY22,1,Q1,3,March,13,W13,1,Sunday
2022-03-21,2022,FY22,1,Q1,3,March,13,W13,2,Monday
2022-03-22,2022,FY22,1,Q1,3,March,13,W13,3,Tuesday
2022-03-23,2022,FY22,1,Q1,3,March,13,W13,4,Wednesday
2022-03-24,2022,FY22,1,Q1,3,March,13,W13,5,Thursday
2022-03-25,2022,FY22,1,Q1,3,March,13,W13,6,Friday
2022-03-26,2022,FY22,1,Q1,3,March,13,W13,7,Saturday
2022-03-27,2022,FY22,1,Q1,3,March,14,W14,1,Sunday
2022-03-28,2022,FY22,1,Q1,3,March,14,W14,2,Monday
2022-03-29,2022,FY22,1,Q1,3,March,14,W14,3,Tuesday
2022-03-30,2022,FY22,1,Q1,3,March,14,W14,4,Wednesday
2022-03-31,2022,FY22,1,Q1,3,March,14,W14,5,Thursday
2022-04-01,2022,FY22,2,Q2,4,April,14,W14,6,Friday
2022-04-02,2022,FY22,2,Q2,4,April,14,W14,7,Saturday
2022-04-03,2022,FY22,2,Q2,4,April,15,W15,1,Sunday
2022-04-04,2022,FY22,2,Q2,4,April,15,W15,2,Monday
2022-04-05,2022,FY22,2,Q2,4,April,15,W15,3,Tuesday
2022-04-06,2022,FY22,2,Q2,4,April,15,W15,4,Wednesday
2022-04-07,2022,FY22,2,Q2,4,April,15,W15,5,Thursday
2022-04-08,2022,FY22,2,Q2,4,April,15,W15,6,Friday
2022-04-09,2022,FY22,2,Q2,4,April,15,W15,7,Saturday
2022-04-10,2022,FY22,2,Q2,4,April,16,W16,1,Sunday
2022-04-11,2022,FY22,2,Q2,4,April,16,W16,2,Monday
2022-04-12,2022,FY22,2,Q2,4,April,16,W16,3,Tuesday
2022-04-13,2022,FY22,2,Q2,4,April,16,W16,4,Wednesday
2022-04-14,2022,FY22,2,Q2,4,April,16,W16,5,Thursday
2022-04-15,2022,FY22,2,Q2,4,April,16,W16,6,Friday
2022-04-16,2022,FY22,2,Q2,4,April,16,W16,7,Saturday
2022-04-17,2022,FY22,2,Q2,4,April,17,W17,1,Sunday
2022-04-18,2022,FY22,2,Q2,4,April,17,W17,2,Monday
2022-04-19,2022,FY22,2,Q2,4,April,17,W17,3,Tuesday
2022-04-20,2022,FY22,2,Q2,4,April,17,W17,4,Wednesday
2022-04-21,2022,FY22,2,Q2,4,April,17,W17,5,Thursday
2022-04-22,2022,FY22,2,Q2,4,April,17,W17,6,Friday
2022-04-23,2022,FY22,2,Q2,4,April,17,W17,7,Saturday
2022-04-24,2022,FY22,2,Q2,4,April,18,W18,1,Sunday
2022-04-25,2022,FY22,2,Q2,4,April,18,W18,2,Monday
2022-04-26,2022,FY22,2,Q2,4,April,18,W18,3,Tuesday
2022-04-27,2022,FY22,2,Q2,4,April,18,W18,4,Wednesday
2022-04-28,2022,FY22,2,Q2,4,April,18,W18,5,Thursday
2022-04-29,2022,FY22,2,Q2,4,April,18,W18,6,Friday
2022-04-30,2022,FY22,2,Q2,4,April,18,W18,7,Saturday
2022-05-01,2022,FY22,2,Q2,5,May,19,W19,1,Sunday
2022-05-02,2022,FY22,2,Q2,5,May,19,W19,2,Monday
2022-05-03,2022,FY22,2,Q2,5,May,19,W19,3,Tuesday
2022-05-04,2022,FY22,2,Q2,5,May,19,W19,4,Wednesday
2022-05-05,2022,FY22,2,Q2,5,May,19,W19,5,Thursday
2022-05-06,2022,FY22,2,Q2,5,May,19,W19,6,Friday
2022-05-07,2022,FY22,2,Q2,5,May,19,W19,7,Saturday
2022-05-08,2022,FY22,2,Q2,5,May,20,W20,1,Sunday
2022-05-09,2022,FY22,2,Q2,5,May,20,W20,2,Monday
2022-05-10,2022,FY22,2,Q2,5,May,20,W20,3,Tuesday
2022-05-11,2022,FY22,2,Q2,5,May,20,W20,4,Wednesday
2022-05-12,2022,FY22,2,Q2,5,May,20,W20,5,Thursday
2022-05-13,2022,FY22,2,Q2,5,May,20,W20,6,Friday
2022-05-14,2022,FY22,2,Q2,5,May,20,W20,7,Saturday
2022-05-15,2022,FY22,2,Q2,5,May,21,W21,1,Sunday
2022-05-16,2022,FY22,2,Q2,5,May,21,W21,2,Monday
2022-05-17,2022,FY22,2,Q2,5,May,21,W21,3,Tuesday
2022-05-18,2022,FY22,2,Q2,5,May,21,W21,4,Wednesday
2022-05-19,2022,FY22,2,Q2,5,May,21,W21,5,Thursday
2022-05-20,2022,FY22,2,Q2,5,May,21,W21,6,Friday
2022-05-21,2022,FY22,2,Q2,5,May,21,W21,7,Saturday
2022-05-22,2022,FY22,2,Q2,5,May,22,W22,1,Sunday
2022-05-23,2022,FY22,2,Q2,5,May,22,W22,2,Monday
2022-05-24,2022,FY22,2,Q2,5,May,22,W22,3,Tuesday
2022-05-25,2022,FY22,2,Q2,5,May,22,W22,4,Wednesday
2022-05-26,2022,FY22,2,Q2,5,May,22,W22,5,Thursday
2022-05-27,2022,FY22,2,Q2,5,May,22,W22,6,Friday
2022-05-28,2022,FY22,2,Q2,5,May,22,W22,7,Saturday
2022-05-29,2022,FY22,2,Q2,5,May,23,W23,1,Sunday
2022-05-30,2022,FY22,2,Q2,5,May,23,W23,2,Monday
2022-05-31,2022,FY22,2,Q2,5,May,23,W23,3,Tuesday
2022-06-01,2022,FY22,2,Q2,6,June,23,W23,4,Wednesday
2022-06-02,2022,FY22,2,Q2,6,June,23,W23,5,Thursday
2022-06-03,2022,FY22,2,Q2,6,June,23,W23,6,Friday
2022-06-04,2022,FY22,2,Q2,6,June,23,W23,7,Saturday
2022-06-05,2022,FY22,2,Q2,6,June,24,W24,1,Sunday
2022-06-06,2022,FY22,2,Q2,6,June,24,W24,2,Monday
2022-06-07,2022,FY22,2,Q2,6,June,24,W24,3,Tuesday
2022-06-08,2022,FY22,2,Q2,6,June,24,W24,4,Wednesday
2022-06-09,2022,FY22,2,Q2,6,June,24,W24,5,Thursday
2022-06-10,2022,FY22,2,Q2,6,June,24,W24,6,Friday
2022-06-11,2022,FY22,2,Q2,6,June,24,W24,7,Saturday
2022-06-12,2022,FY22,2,Q2,6,June,25,W25,1,Sunday
2022-06-13,2022,FY22,2,Q2,6,June,25,W25,2,Monday
2022-06-14,2022,FY22,2,Q2,6,June,25,W25,3,Tuesday
